number_of_slot,number_of_day,number_of_weekday,number_of_hour,stream.1,stream.2,stream.3,stream.4,stream.5,advertising_earnings.1,advertising_earnings.2,advertising_earnings.3,advertising_earnings.4,advertising_earnings.5,bandwidth_available_OTT
16,1,1,16,0.0,1.079315781,1.3947596219999998,0.244797625,0.0,4.188624896434036,0.5166261512423803,2.412089521766433,2.0655576241156206,4.640963186023335,0.8860759029999999
17,1,1,17,0.0,1.02501327,0.881653366,0.137009858,0.0,4.081006856888346,0.014160558170528643,2.4794967150884544,1.912214755936277,4.626594568045934,0.432948485
18,1,1,18,0.0,1.064313592,0.724798223,0.384358388,0.0,3.1298174831109917,0.7269135605466791,2.3293873854797615,1.9361798399554229,4.631391682864526,0.036061393
19,1,1,19,0.0,1.373664737,0.40326805,0.1300611,0.0,3.5462527285065018,2.337188625522804,2.8412373537546483,1.936972735768956,4.628598526771267,0.035795548
20,1,1,20,0.0,0.994034096,2.009308653,0.888832101,0.0,3.231831168282948,0.4822330803041704,2.376976737932458,1.9567917941447248,4.630569353497359,0.429802199
21,1,1,21,0.0,0.675018935,3.187495891,1.413614296,0.0,4.773516699825338,0.2540609701264769,2.3533867160976683,1.959385533476552,4.629160148982164,0.6984223970000001
22,1,1,22,0.0,0.433673397,0.304969201,1.44357242,0.0,4.094571178946953,1.1768104510934254,2.2012645470819447,1.949773592591694,4.631101665391329,0.985726855
23,1,1,23,0.0,0.309613747,1.5211114819999998,0.5924205610000001,0.0,4.164966711260663,1.7219535273698892,2.474338576174544,1.9473961913864368,4.644545110493713,1.479705517
24,1,1,24,0.0,0.140245384,0.8184448409999999,0.469649231,0.0,4.91402204238157,0.959266095924416,2.2785646625401057,1.9147342667035856,4.641151029692772,2.749429363
25,2,2,1,0.510704755,0.273483013,0.825698591,0.735978847,1.877018271,4.083276374587918,0.9373017366776916,2.23305004063276,1.9843288932610368,4.631511906911296,4.568028965
26,2,2,2,0.285805911,0.513618305,1.20229166,0.39463275,2.499344512,3.3622558468898744,1.0313558017130169,2.3855241638640767,2.0174164483141026,4.624527140018565,6.362339563
27,2,2,3,0.422401935,1.198493467,0.35221529700000004,0.203301566,2.638961113,4.672845625370341,0.548346257716589,2.337973435764897,1.9640563440399743,4.631428199612325,7.143450777000001
28,2,2,4,1.359282206,1.540248706,1.056807611,0.139060941,1.3749599119999998,4.764789264243978,0.3697861967126096,2.5743292513184373,2.0763119264814835,4.632056331729184,7.640058384
29,2,2,5,1.897283005,1.5490235469999998,1.7304267759999998,0.133779741,1.917345469,4.5564466310148655,1.2001651420964499,2.3821527012851584,1.9849666951221767,4.632789629261206,6.8786197960000015
30,2,2,6,0.813708476,0.937537101,0.694282562,0.067251702,1.396363503,4.446215980800342,1.2807664989964418,2.5629006290288063,2.0298238457030138,4.635956676856988,7.403248701
31,2,2,7,0.614244484,1.347766094,1.015781605,0.701510478,2.098516205,4.945726746666286,1.7318681079730318,2.4444821468492166,2.0435838822839973,4.635680228697673,5.630656807
32,2,2,8,0.768793235,0.939376732,0.8701840829999999,0.4398487720000001,2.145417577,4.585243046175898,1.2863217981167858,2.2988345040412934,2.0111472128816863,4.6122955650147,5.616757221
33,2,2,9,0.978168363,1.589375981,0.189627814,0.882234655,1.894018157,3.992649780524729,1.1725094775017548,2.3661438267179737,1.9322227851308744,4.636640729596565,3.438197843
34,2,2,10,0.764112534,3.49622891,0.289269134,0.26123288100000003,0.931677937,4.253644376122673,0.2342834403641407,2.4554516355198603,1.9233075703358302,4.625664545607616,2.705336206
35,2,2,11,0.782157043,0.8142191320000001,0.399889836,0.715286709,1.462636405,2.9613604442550385,0.8572917958914585,2.370595226142416,1.9212134929288491,4.631514514598044,1.648445863
36,2,2,12,1.041159894,1.006590347,0.7121207909999999,0.375786244,0.5950701939999999,3.6396460279825833,0.3526167304683891,2.2653414445118205,1.9531448847279715,4.634767029222507,1.450451481
37,2,2,13,1.297522078,1.714249919,0.217542817,0.104961031,0.476389364,3.330415127954471,1.2497510087159298,2.315624686052323,1.968596544939832,4.6285975728177595,0.700349632
38,2,2,14,0.95503365,3.012473932,0.312569597,0.117520799,0.703782482,4.458561368066092,0.8320014963385466,2.3906051188573523,2.005958440608522,4.638204023315891,0.571856003
39,2,2,15,1.618426179,4.417443673999999,1.047010619,0.137075656,0.280596293,4.141569861347237,1.369689360636887,2.283016180777224,2.0030551180151317,4.62832527341915,0.949558968
40,2,2,16,1.09009901,2.638864324,0.5649636889999999,0.172087933,0.984132968,4.335641895837791,0.11907851638808027,2.4851800889516777,1.980784923855668,4.628028291625211,0.893779705
41,2,2,17,1.863197452,2.255445167,1.773397926,0.091528551,0.385630917,4.418460954893663,0.02928157986573752,2.305307732530363,2.098133461153283,4.626062375992253,0.422249279
42,2,2,18,2.244561909,2.027036974,1.246749332,0.35156361,1.934076408,3.8108472170136536,0.7645227349876837,2.3232631039680998,2.0607380544912672,4.631570949693127,0.058005983
43,2,2,19,4.014349264,2.986536312,0.637343118,0.217656892,1.06072503,4.894957848841241,0.8160574583308526,2.5013449005151385,1.915249969835653,4.6319351547034335,0.020025475
44,2,2,20,2.758238927,2.548372905,0.8014528790000001,0.5046631460000001,1.804128255,4.3176531341868944,0.2719844010623114,2.3468000344866358,1.9606139841399681,4.636125289378224,0.44769989
45,2,2,21,1.758075077,1.526111033,2.028570107,0.824318715,2.459821728,4.644777728364464,0.5785190915359442,2.4028280104295843,1.9580633046182432,4.640009188279183,0.76196367
46,2,2,22,1.424205749,0.7877071840000001,0.174314644,0.607997955,3.286870539,3.702269866747153,2.222529204765271,2.373744740673269,2.010167604889719,4.632764365119628,0.918210828
47,2,2,23,0.573222409,0.579314204,0.864068262,0.868892234,5.394859348,4.358088776232115,0.5053005370031938,2.271148622090419,1.9337119089830213,4.612469366259224,1.436904797
48,2,2,24,1.324970741,0.29925012300000003,1.15979962,0.415109229,2.279742491,4.9005142090778335,1.7188945660758026,2.644234615228743,2.0129477848012955,4.625034319886236,3.238740659
49,3,3,1,0.675670806,0.0,0.651933318,0.6912442329999999,1.664502421,4.608420494969987,0.05997374720895431,2.4818604061640417,1.987845203522635,4.635653202778818,5.22205825
50,3,3,2,0.328232282,0.0,0.315091265,0.742293118,1.740654369,3.9773868539550263,1.4932987635625314,2.5791171396726957,2.0115505967474028,4.638916899815838,6.788736878
51,3,3,3,0.6349881470000001,0.0,0.906634154,0.255474531,1.813174876,3.9072887582587583,1.2433715547948063,2.358224205548148,1.9016829177507342,4.623889244178264,6.353100111
52,3,3,4,1.782176876,0.0,0.17758527,0.045473458,1.437181276,2.997282958500372,0.2918725739556085,2.2842860199373702,1.934877505608667,4.61109941846607,6.601676974
53,3,3,5,1.21616487,0.0,1.698174964,0.244306389,1.08678218,4.413492391142344,0.8384671909410255,2.3753883701473018,1.9342082333918469,4.631469904857098,6.52722788
54,3,3,6,0.6599629539999999,0.0,2.191988053,0.145533167,2.259665906,4.648778601952926,0.1620630408354206,2.2611246260791917,2.0568202209308457,4.639655511746232,7.468217656
55,3,3,7,0.35466971700000005,0.0,0.293026998,0.958491078,3.360246728,3.2650479495776894,0.4005125005609613,2.4468603866116343,1.9673846456797064,4.63614352564295,5.851796705
56,3,3,8,0.41861138,0.0,0.665497372,0.8284714320000001,2.591987058,3.0159698203205627,2.500486985058614,2.3088022944074664,1.957906450193224,4.635101463385704,5.260292222
57,3,3,9,0.7458229209999999,0.0,0.28925574800000003,0.220530533,1.138689876,3.1427256317627665,0.7990041430234253,2.383208186563119,1.9557516684113592,4.638522400132575,3.491734518
58,3,3,10,0.961458704,0.0,0.138017595,0.370066206,0.820266388,4.003230755492773,0.7524893151378644,2.464996353538908,1.9925733543445112,4.631891814119772,2.753342888
59,3,3,11,0.62303911,0.0,0.042006411,0.559892808,0.921053173,4.591545957412133,0.8840232645027952,2.5291709191700993,1.921286037369236,4.640303499331,1.72891096
60,3,3,12,0.756435071,0.0,0.5842810279999999,0.621508021,1.124860486,3.051527204057765,0.9018742389598275,2.4824875802947868,1.9702732144051047,4.642692860873023,1.418934933
61,3,3,13,1.261542004,0.0,0.124473726,0.110683362,0.7622054890000001,4.895933389266803,2.6743332024382194,2.41218993905614,1.9135877703769548,4.634061806471989,0.693876505
62,3,3,14,1.073197568,0.0,0.226373166,0.252193908,0.6330472429999999,3.2106630390842317,0.14073030158982142,2.448076058679353,1.9184597526819571,4.629428992686517,0.544997802
63,3,3,15,1.188083124,0.0,0.700388975,0.064204093,0.31727183800000003,4.6641027963481925,0.5211323551835692,2.4214547842140517,2.0115581319816487,4.638171527144203,0.843671142
64,3,3,16,0.915250968,0.0,1.031469008,0.16808489899999998,0.7914139040000001,4.6101185198420795,1.1244938692845974,2.2721580106508514,1.9787208173209012,4.63698121235788,0.931869874
65,3,3,17,1.5157106809999998,0.0,1.094356479,0.086347144,0.378908195,4.783415085090679,0.4682562633218397,2.3019227696169766,1.9442926627338963,4.614422348070218,0.44282369
66,3,3,18,1.460097484,0.0,1.7189045040000002,0.6143903070000001,1.929222245,4.878181108480372,1.024209403432342,2.617478864006882,1.9635440707540412,4.6327981758875,0.053438746
67,3,3,19,2.947605391,0.0,0.538168999,0.380878989,1.095149605,3.668829716290058,1.461064098436361,2.3954528250137828,1.9862986649572485,4.632635684482096,0.033616364
68,3,3,20,3.014301635,0.0,0.58196884,0.907415739,1.687633287,4.08464394644465,0.1088181228158576,2.5263010674062216,2.0674031034760056,4.638638233545311,0.447476073
69,3,3,21,1.032814189,0.0,2.828976196,1.496319766,2.4720638740000003,4.8673339352620255,0.2046812469548419,2.4352253355260465,2.0907148979045598,4.6215856193604266,0.697928312
70,3,3,22,1.423936159,0.0,0.361154124,1.358369688,2.929415628,4.734996903759276,1.5930715125238166,2.5856653675172274,2.0107653773296192,4.629143276914717,0.8942423359999999
71,3,3,23,0.799284433,0.0,0.244019949,0.823766287,3.319831959,3.2976706012512498,0.2001778237903264,2.3391546647248003,1.9623993006092728,4.6273684480351625,1.420018232
72,3,3,24,1.6779209330000002,0.0,0.836701203,0.536269585,2.406368765,4.303664121452342,0.6503282501232593,2.3011298782463263,2.0380471845465102,4.630971713551535,2.740180361
73,4,4,1,0.468068553,0.303371907,3.796599242,0.0,3.092961326,4.9154019252399515,0.9106424790641596,2.297700811690731,1.932458049554041,4.628838299114894,5.072603373
74,4,4,2,0.232995776,0.525450294,2.239611683,0.0,2.267316746,4.225399285306766,1.8161262388554305,2.2499531363098724,1.9050091785189407,4.620576608271991,6.208015817000001
75,4,4,3,0.60390854,1.120335453,2.500419677,0.0,2.045956897,4.345372555509969,1.3631510399265687,2.258727042761144,1.920955889606464,4.620664272756616,6.152234506
76,4,4,4,1.722310856,1.440806224,3.354442586,0.0,1.471907895,3.0583680802019537,0.8893552132192671,2.2993075060959725,2.048387698388541,4.617831362131459,7.558067142
77,4,4,5,1.595039385,1.259350763,3.186696492,0.0,1.960824252,3.7081766632019386,0.1301589577202918,2.4658291244179,1.9451020678984028,4.629790813083975,7.893491581
78,4,4,6,0.718945767,1.138237508,1.270513188,0.0,1.873499672,3.9263995233093887,0.31836821593830456,2.587932473317521,1.9545897171837967,4.608188283520857,7.284368767999999
79,4,4,7,0.64872585,1.51857626,2.445074939,0.0,2.73615452,4.133395277540041,1.4558488647152572,2.3413928151259302,2.0939525103439123,4.607234136940911,5.784770666
80,4,4,8,0.8310296979999999,1.044715001,0.262313682,0.0,2.27834583,4.472865722032571,0.3595611488850646,2.5361395419110635,1.9168450054940287,4.613067887766115,4.821116463
81,4,4,9,0.780566379,1.4436752080000002,0.561980979,0.0,1.319711923,4.9484968512507095,0.43275945999924015,2.2173645727597617,2.037126559575685,4.640720958829542,3.915027348
82,4,4,10,1.042128034,3.911885218,0.235541509,0.0,0.897945717,4.369389542557602,0.41600123571456393,2.4858239280417593,1.9275524047434256,4.6376649774837935,2.494470603
83,4,4,11,0.471064069,1.055210714,0.27528525600000003,0.0,1.096192287,4.329918979479974,1.3079546358673708,2.527473768522062,2.0594058195812868,4.622912286590464,1.665910185
84,4,4,12,0.656855476,1.0992429540000002,0.910016014,0.0,1.06329152,4.283436992093867,0.042160402276419866,2.333257826259187,2.0153203853260724,4.6361335724052966,1.263658743
85,4,4,13,1.069605999,1.928442427,0.469608302,0.0,0.605218562,4.751124532680183,0.26500866725858857,2.294179288452125,1.9353936993153973,4.636036280771037,0.7122895990000001
86,4,4,14,0.913684255,2.717068186,0.833505135,0.0,1.087388107,3.2279170517256506,0.10883173651912054,2.2675930617869846,1.999780175719692,4.629104337059216,0.560519151
87,4,4,15,1.381798939,3.485419713,1.676694424,0.0,0.34706623600000003,2.9322946420619598,0.3884910890585489,2.5132963181455876,1.9716334886278133,4.635708054947606,0.994362572
88,4,4,16,0.687914185,3.022340032,1.1799878540000002,0.0,0.905414044,4.471778477977515,1.2661599173544882,2.3359036902738324,1.946040318512234,4.6408312063445685,0.87528357
89,4,4,17,0.986263567,1.832174419,2.140554455,0.0,0.604540856,3.671446607247929,0.4090154940918799,2.443045906841399,1.925576234504383,4.637405122105799,0.527104598
90,4,4,18,1.189905368,2.680364191,1.565520865,0.0,1.659198797,4.265376124310576,0.56485805954661,2.3443251245152466,1.986874334947092,4.638687163925521,0.037459078
91,4,4,19,2.153021731,2.87858384,2.174271374,0.0,0.702665641,4.570311802108629,0.4265844263265053,2.4885625495271118,1.9722859299831748,4.624978075757225,0.018473587
92,4,4,20,1.406379436,2.631279116,3.907522856,0.0,1.843590343,3.864239925635869,0.1270199829809755,2.4099533430495312,2.0154014330187717,4.635851236432599,0.451788235
93,4,4,21,1.6623628380000002,1.5497864609999998,5.160731604,0.0,1.981122331,3.2855980179627204,1.4897379934741162,2.4105878404892294,1.9774917493692208,4.624810126297879,0.695862086
94,4,4,22,1.320961407,1.043744436,2.500146131,0.0,2.124859077,4.6259135367094135,0.8983815274019774,2.5312671077276505,1.9964895612231732,4.625966511908416,0.8809784409999999
95,4,4,23,1.051940479,0.570380842,1.518677358,0.0,6.103841977,4.682410043215041,0.15477350574192728,2.2802717476387784,2.0417886202624587,4.622122582739209,1.463207039
96,4,4,24,1.476865081,0.309134796,1.349386868,0.0,2.818839115,4.060761913110569,0.5284959372331264,2.3671964454851437,1.913857026273504,4.6297812102727205,3.0987359160000003
97,5,5,1,0.468271765,0.147053695,4.070416708,0.668395249,6.106813132999999,4.790704571153035,0.36005818647729804,2.360334419881997,1.9440066210851592,4.623990795855962,4.518669581
98,5,5,2,0.224787978,0.250206542,0.380525677,0.715075239,4.059507592,4.5751786891375845,0.3334324066314597,2.2015551936143,1.9703979327930048,4.63937314585834,6.721272823
99,5,5,3,0.702249445,0.6694345660000001,1.086910336,0.239913972,6.516249374,2.0136929972507547,0.9902899546718392,2.355988073512429,1.9796210556629281,4.637239818224298,6.799207986
100,5,5,4,1.266618137,0.931400403,1.740931355,0.085471575,3.262457917,3.6246791292908536,0.05235364670558565,2.4986599123668976,2.01214307873118,4.633861246050474,6.965654097000001
101,5,5,5,1.243416692,0.600417581,4.841226208,0.220978581,3.313267909,4.648388289413806,0.9899279240515036,2.326662582378724,1.983922356745086,4.612491781455094,7.244255229
102,5,5,6,0.626659757,0.520857263,0.62096216,0.220053621,3.583619922,4.307366772260133,2.1775097667092798,2.3629063653285067,1.9483234614093217,4.629038612251568,7.593852342999999
103,5,5,7,0.3813001170000001,0.734256682,1.052078057,1.062911255,5.053883669,3.890102252430167,1.0820820650234886,2.5765555756163288,2.026181579065945,4.615246274111424,5.90856102
104,5,5,8,0.766313815,0.437904511,0.753873958,1.153879702,6.884840917000001,4.0065877658597495,0.060096894648112624,2.3626014090862504,2.086499392671,4.634310750694598,5.444646511
105,5,5,9,0.8441893859999999,0.803741195,0.313740833,0.544914909,3.180831517,4.9856535221399865,1.9953637233143355,2.2558888099632584,2.0608840178862557,4.635176028346749,3.717741731
106,5,5,10,0.613202845,1.51797894,0.371790298,0.304492045,1.434596546,4.874428606014308,1.2009679518500864,2.374816692491587,1.9135692470586991,4.633509020937873,2.737290266
107,5,5,11,0.323635967,0.537157117,0.33754716799999995,0.854433828,3.134915369,5.0859134832284125,1.583229604730579,2.2551213956914204,2.014748977651499,4.626318843505059,1.7356162519999998
108,5,5,12,0.69128436,0.594002602,1.044774182,0.296496676,2.21911194,3.814948221555947,1.0916695338022195,2.574077948108893,2.0174095054780805,4.619261168660774,1.36904637
109,5,5,13,1.094117805,1.003269043,0.332941967,0.109219136,1.354560487,4.199793977594139,1.7022765603406516,2.285521469538996,2.0010834188325104,4.624135739037083,0.673478867
110,5,5,14,1.21168658,1.240605318,1.131677286,0.185573361,1.451114914,3.0472023436329256,0.8177615438502843,2.3466113143949947,1.9306916763697652,4.63287268892911,0.552730897
111,5,5,15,1.484872506,2.051494394,1.707744945,0.129045734,0.964387847,4.9681775455081745,1.7267126460641355,2.4387706455011764,2.092297347467322,4.631804953553705,0.905230803
112,5,5,16,1.096211411,1.142877109,1.841178756,0.282666509,1.71092327,4.574912745691097,0.4197092763878008,2.3012730676541344,1.980115709479216,4.6332718798221855,0.886352248
113,5,5,17,1.004199914,1.151365683,1.298301095,0.166510936,0.892619012,3.6989087281166033,0.012873992945478543,2.2818867931987596,1.9562028412978352,4.632527219153878,0.459205565
114,5,5,18,1.467276279,1.118981875,0.441362174,0.26135564,4.252709678,4.2324618785560455,0.9522859174135486,2.3115626649326746,1.9569915984998019,4.632988895981222,0.010251388
115,5,5,19,1.7723092319999998,1.391649025,1.54414417,0.560892377,2.023871984,3.7507114568264446,0.6311988605214338,2.5006302964186733,2.0014259479601515,4.6172764425889365,0.050310906
116,5,5,20,1.203438641,1.088712924,3.694240077,0.433680273,3.57561942,4.791677049345363,1.0081084788987609,2.7761896810471915,2.0048659793341583,4.637284128027487,0.401472675
117,5,5,21,1.603728866,0.577496777,5.662028244,1.1881395540000002,4.138976637,5.0090651040930325,2.6195128705006785,2.7150451801617823,1.9127488034838045,4.609668724368178,0.664217517
118,5,5,22,0.600189165,0.4140948,2.796494119,1.109287875,5.019779388,3.826415813608948,0.023345855893576413,2.5359506101946603,1.9819671959406524,4.636705970342878,0.984349576
119,5,5,23,0.7406016940000001,0.310215883,1.862308742,0.235166653,9.70302126,3.922067996226682,0.6423486281493158,2.457287995977864,1.942215886854337,4.639419700526192,1.265585232
120,5,5,24,1.208464468,0.15234546699999998,2.484114387,0.213434211,6.5620091,4.783460443573773,1.0101539052600272,2.226150235527958,1.9533902558202487,4.623225650432115,2.660705529
121,6,6,1,0.0,0.156717993,0.7303417409999999,0.313468278,6.024129224,4.258586401773875,1.283002642056123,2.386081717501856,1.988707190856396,4.6359514508314135,4.50814778
122,6,6,2,0.0,0.257683477,1.094934319,0.8077321129999999,8.994312796,4.9324304055567865,0.3350370708240248,2.3247036160690238,2.04891525181774,4.636978211199987,5.683664022
123,6,6,3,0.0,0.561586395,0.917647096,0.137238673,9.803967298,4.905393247801342,0.9176522953551198,2.2428783605399496,1.9443005388129744,4.639704362597228,6.7940474260000006
124,6,6,4,0.0,0.7966642890000001,3.307106262,0.091769251,4.048096064,4.892579655724866,0.3777254191111543,2.6090345364805674,1.9994796365902068,4.635373002903379,7.124835943
125,6,6,5,0.0,0.6857982659999999,1.300600824,0.157686353,4.52664316,4.683143447839174,1.4282809488826749,2.3788559514383785,1.977229504945466,4.630358266030196,7.152242079
126,6,6,6,0.0,0.454598217,4.510575043,0.07961454400000001,4.0347830889999985,4.161402029459257,0.133645107299865,2.3893866399571126,1.9440727372613105,4.624737399290783,7.00684364
127,6,6,7,0.0,0.799410469,1.971084066,0.692586523,8.425166287,3.03413979157905,0.062307645854674826,2.594995624083242,1.91019223435942,4.6340037924233295,5.532517392000001
128,6,6,8,0.0,0.416012073,0.344007977,0.416002305,6.542538835,4.313073124995114,1.724174904938626,2.454919318519328,1.953169754265306,4.615506758654822,5.405763693
129,6,6,9,0.0,0.960883111,1.07155121,0.268960492,5.021805804,4.3948577662084976,0.4395096396140933,2.3040920747782234,1.948948895422391,4.608249668446165,3.634150784
130,6,6,10,0.0,1.684695296,0.483499703,0.60602829,2.003269,4.561504543192259,2.0116654246826453,2.518626382992983,1.98201827954568,4.6171696995983735,2.834904289
131,6,6,11,0.0,0.534769387,0.14234760400000002,0.83276705,3.661772157,4.745931200737648,0.8349509457994784,2.6383691544824224,1.9423899333804733,4.637821286444731,1.81720553
132,6,6,12,0.0,0.594916022,0.40501692,0.823362215,3.0334540480000003,4.842843901934087,1.6081092314909866,2.3340044171445964,1.9287099188263492,4.63405593264721,1.435203059
133,6,6,13,0.0,0.946758841,0.6019320810000001,0.214511661,1.845020285,4.617400378552159,0.4689092659953434,2.3019244585530956,1.9206547403436975,4.624469773743048,0.6964251859999999
134,6,6,14,0.0,1.44065497,1.030770724,0.175005738,2.9713049060000003,4.664643034630168,0.13338705001857312,2.3361408901763143,2.04065443981046,4.638545386404411,0.586714889
135,6,6,15,0.0,1.907795247,0.969223877,0.24747908,0.893377564,4.334737443169283,1.6638587169598376,2.5613097864578447,2.0205480252587598,4.6378555464021485,0.8629968170000001
136,6,6,16,0.0,1.255161467,3.357884037,0.089816475,1.991169706,3.2280369030278173,2.458962372305604,2.2316698556384407,2.0241080918952323,4.6325673752730046,0.904450133
137,6,6,17,0.0,1.06437469,2.794412274,0.166475731,1.269308745,3.5953079682536,1.2698824949643568,2.4744929449105206,1.976737258621968,4.598231682542803,0.437715297
138,6,6,18,0.0,1.186726466,1.21139117,0.371360865,5.028612772,3.746272084173274,0.4218976362598704,2.3976021229061995,2.0067807851586257,4.640968067832197,0.020721828
139,6,6,19,0.0,1.520735018,0.655945287,0.8007891340000001,3.242980756,4.454237602142813,0.2414617248799593,2.265267343031556,2.034428954475476,4.6241532155966105,0.014928881
140,6,6,20,0.0,1.051035916,2.125345794,0.636859428,4.9215534430000005,4.297720351614766,0.5276972858019211,2.221269233389169,1.9212376097426167,4.6216704514760085,0.440177135
141,6,6,21,0.0,0.6402614179999999,4.972563921,0.5729605170000001,5.604356201,3.597007006415218,1.3917351314682875,2.404534962170893,1.9493528501096968,4.642416343328347,0.728909605
142,6,6,22,0.0,0.44068683,0.6250724320000001,0.729808481,8.828111844,2.7156076298889764,0.4023889508306051,2.41395129957409,1.98104562695504,4.635157649315981,1.017727294
143,6,6,23,0.0,0.31554756,1.750329262,0.472614036,16.34085695,4.875025558346094,1.0341230295424322,2.322982642022,2.01459863108403,4.626245832016208,1.478028871
144,6,6,24,0.0,0.153162716,2.391981284,0.777751445,6.044866815,3.938332895704996,0.5621740935439321,2.3732048963904897,1.9811398502441508,4.628310916955245,2.75571542
145,7,7,1,0.0,0.156634843,1.632034533,0.7021681790000001,5.698890904,4.058686517773053,1.2238694163448898,2.25267993917245,1.9563131888504757,4.619870130693312,5.032630288
146,7,7,2,0.0,0.317586863,0.6942724990000001,0.658905089,4.064211038,4.1587833447790485,0.7509215384578124,2.4683091191671287,1.9513295325489903,4.632553146597568,5.628226633
147,7,7,3,0.0,0.583519214,0.398260854,0.15304093,5.772210642999999,3.367225866780581,1.0322023931402422,2.354688446647078,1.9648528558954697,4.635121851680657,6.81724415
148,7,7,4,0.0,0.7823546990000001,1.184906786,0.225677714,2.135719307,4.855183406154966,1.0320568298077564,2.2584956091205104,1.991115489797819,4.634445825579373,7.669109177
149,7,7,5,0.0,0.7710245090000001,1.166160302,0.184656775,2.032046874,3.0294100358838825,0.3210906657366656,2.3751499839404517,2.054724572755474,4.632298161633219,6.965383077
150,7,7,6,0.0,0.606707841,2.401513361,0.080660818,4.957478029,5.1738447162729715,0.07908482013229741,2.36771872082536,1.9248315701186596,4.635242137515253,7.1714908710000005
151,7,7,7,0.0,0.6267311,1.341054329,0.899366795,4.94416352,4.173052385708062,0.02148518035999744,2.370297751850423,1.936814463394508,4.624757725257164,6.088631423
152,7,7,8,0.0,0.417323489,0.257636906,0.486814622,4.922689161,4.810539161384933,0.5179710375783905,2.365762052166794,1.9703754311498605,4.628478952948414,5.293917997
153,7,7,9,0.0,0.96224649,0.177222078,0.539235819,4.591601415,3.3261232014673494,2.099117238598372,2.3666347847491696,2.063804628704184,4.628514294070499,3.662847453
154,7,7,10,0.0,1.692326555,0.16311226199999998,0.906290894,1.09715572,4.583574421864952,1.6338366037452678,2.4395063619861332,2.099605643046208,4.6301415859108666,2.810061311
155,7,7,11,0.0,0.495205418,0.449405661,0.7666011079999999,1.695587909,3.619319960873348,1.2120284448000462,2.383773177752713,1.9210759973485148,4.6247443780180495,1.861171008
156,7,7,12,0.0,0.523375475,0.527788559,0.348809424,2.170464306,4.1270072563973805,1.4733459117894772,2.461831478400667,1.9575264681344635,4.62295415074175,1.377854786
157,7,7,13,0.0,0.990598138,0.204316683,0.103903342,0.855957097,3.764727444542129,0.32286781286271804,2.291655579833056,2.0314084766066607,4.6290406905102754,0.801262604
158,7,7,14,0.0,1.4947608609999998,0.298561676,0.228263975,2.088791517,3.8862287796758657,0.987292682746724,2.392241182236807,1.9834329423435424,4.631954496299129,0.612084552
